role_id,role_name,org_level,access_level,can_exec,can_cron,max_cron_jobs,can_read_others_memory,can_read_dept_data,can_read_org_data,can_send_email,can_access_crm,can_view_kpi,can_view_hr_data,can_manage_users,can_view_finance,notes
admin,Admin / C-Level,5,5,true,true,unlimited,true,true,true,true,true,true,true,true,true,เห็นทุกอย่าง
manager,Manager / Dept Head,4,4,true,true,10,false,true,true,true,true,true,false,false,false,เห็นแผนกตัวเอง
team_lead,Team Lead / Senior Manager,3,3,true,true,5,false,true,false,true,true,true,false,false,false,เห็นทีมตัวเอง
senior,Senior Officer,2,2,false,true,3,false,false,false,true,true,false,false,false,false,เห็นงานตัวเอง+ทีม
employee,Officer / Employee,1,1,false,false,0,false,false,false,true,false,false,false,false,false,เห็นแค่ของตัวเอง
